Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0002055,QA31,Ovsiannikov,,low,text,always,,General,2024-08-29,,,,public,2024-08-29,"Не полные результаты (выдача) поиска, при вводе поиска на РУ и ENG",new,open,
0002054,QA31,Ovsiannikov,,low,text,always,,General,2024-08-29,,,,public,2024-08-29,"Разные результаты (выдача) поиска, при вводе на разной локализации ввода",new,open,
0002053,QA31,Ovsiannikov,,low,text,sometimes,,General,2024-08-29,,,,public,2024-08-29,"Не корректный поиск по сайту, на РУ языке не находит",new,open,
0002052,QA31,Ovsiannikov,,low,text,always,,General,2024-08-29,,,,public,2024-08-29,Некорректная локализация в  разделе - ЛЕНТА сайта,new,open,
0002051,QA31,Ovsiannikov,,normal,tweak,sometimes,,General,2024-08-29,,,,public,2024-08-29,При переходе в данную страницу (проект) пропадают кнопки навигации на другие проекты (2),new,open,
0002050,QA31,Ovsiannikov,,normal,tweak,sometimes,,General,2024-08-29,,,,public,2024-08-29,При переходе в данную страницу (проект) пропадают кнопки навигации на другие проекты,new,open,
0002049,QA31,Ovsiannikov,,normal,text,sometimes,,General,2024-08-28,,,,public,2024-08-28,"Проект ""Мой дом 2024"" не заполнено содержание в РУ локализации",new,open,
0002048,QA31,Ovsiannikov,,low,trivial,always,,General,2024-08-28,,,,public,2024-08-28,Наложение постороннего элемента на страницу,new,open,
0002046,QA31,Ovsiannikov,,normal,tweak,always,,General,2024-08-28,,,,public,2024-08-28,Не верный адрес при переходе на гугл карты,new,open,
0002047,QA31,Ovsiannikov,,low,trivial,always,,General,2024-08-28,,,,public,2024-08-28,"Не выделены гиперссылки, не понятно что они там есть для возможности перехода",new,open,
0002045,QA31,Ovsiannikov,,low,text,always,,General,2024-08-22,,,,public,2024-08-22,"Сброс локализации (Французский) сайта, на (Английский) при переходе в раздел Développeurs > Catalogue de logiciels",new,open,
0002044,QA31,Ovsiannikov,,normal,text,always,,General,2024-08-22,,,,public,2024-08-22,"Сброс локализации (Португальский) сайта, на (Английский) при переходе в раздел Desenvolvedores > Ferramentas de Desenvolvimento",new,open,
0002043,QA31,Ovsiannikov,,low,text,always,,General,2024-08-22,,,,public,2024-08-22,Не локализована (Вьетнамский) - страница (https://www.intel.vn/content/www/vn/vi/diversity/diversity-at-intel.html),new,open,
0002042,QA31,Ovsiannikov,,normal,text,always,,General,2024-08-22,,,,public,2024-08-22,"Сброс локализации с Tiếng Việt на English, при переходе в раздел ""Các việc làm"", в футере сайта",new,open,
0002041,QA31,Ovsiannikov,,normal,text,always,,General,2024-08-22,,,,public,2024-08-22,"Сброс локализации Tiếng Việt на English, при переходе в раздел ""Foundry"", в хедере сайта",new,open,
0002036,QA31,VerbX_jr34,,low,minor,always,,General,2024-08-13,,,Chrome v127.0.6533.100,public,2024-08-13,Английские надписи в индийской локализации.,new,open,
0002040,QA31,VerbX_jr34,,low,minor,have not tried,,General,2024-08-13,,,Chrome v127.0.6533.100,public,2024-08-13,"На странице ""Warranty Information"" отсутствует индийская локализация.",new,open,
0002039,QA31,VerbX_jr34,,low,minor,always,,General,2024-08-13,,,,public,2024-08-13,"На странице ""Intel Customer Spotlight"" отсутствует индийская локализация.",new,open,
0002038,QA31,VerbX_jr34,,low,minor,always,,General,2024-08-13,,,Chrome v127.0.6533.100,public,2024-08-13,Английские надписи в индийской локализации.,new,open,
0002037,QA31,VerbX_jr34,,low,minor,always,,General,2024-08-13,,,Chrome v127.0.6533.100,public,2024-08-13,Английские надписи в индийской локализации.,new,open,
0002035,QA31,Julia,,normal,minor,always,,General,2024-08-07,,,,public,2024-08-07,Отсутствует перевод страницы «リクルーティング情報» в « 日本語» локализации,new,open,
0002034,QA31,Julia,,normal,minor,always,,General,2024-08-07,,,,public,2024-08-07,Отсутствует перевод страницы « Empregos» в «Português» локализации,new,open,
0002033,QA31,Julia,,normal,major,always,,General,2024-08-07,,,,public,2024-08-07,Отсутствует перевод страницы «Newsroom» в « ไทย» локализации,new,open,
0002032,QA31,Julia,,normal,minor,always,,General,2024-08-07,,,,public,2024-08-07,Отсутствует перевод страницы « งาน» в «ไทย» локализации,new,open,
0002031,QA31,Anna,,low,trivial,always,,General,2024-08-07,,,,public,2024-08-07,Не переведен всплывающий текст “более 300 работ в портфолио” в разделе “Who we are” на главной странице в англ локализации,new,open,
0002030,QA31,Julia,,normal,minor,always,,General,2024-08-07,,,,public,2024-08-07,Отсутствует перевод под-разделов «解決方案» в локализации 繁體中文,new,open,
0002029,QA31,Anna,,low,trivial,always,,General,2024-08-07,,,,public,2024-08-07,Отсутствует англ и рус локализации для содержимого раздела “Политика использования файлов Cookies” в футере,new,open,
0002028,QA31,Anna,,low,trivial,always,,General,2024-08-07,,,,public,2024-08-07,Не полностью переведена статья “Що таке домен?” в разделе “Словарь терминов” в укр локализации,new,open,
0002027,QA31,Anna,,low,trivial,always,,General,2024-08-07,,,,public,2024-08-07,Не переведено название раздела “Messengers:” в футере в укр локализации,new,open,
0002026,QA31,Anna,,low,trivial,always,,General,2024-08-07,,,,public,2024-08-07,Не переведено название элемента управления “play” на главной странице в разделе “Хто ми?” в укр локализации,new,open,
0002025,QA31,Anna,,high,major,always,,General,2024-08-07,,,,public,2024-08-07,Некликабельная гипертекстовая ссылка “Android” в разделе “Словарь терминов”,new,open,
0002024,QA31,Anna,,low,trivial,always,,General,2024-08-07,,,,public,2024-08-07,Ненужная надпись “(ru)” в разделе “N” в “Словарь терминов” в англ локализации,new,open,
